richness	SRR6834172	SRR6834173	SRR6834174	SRR6834175	SRR6834176	SRR6834177	SRR6834178	SRR6834179	SRR6834180	SRR6834181	SRR6834182	SRR6834183	SRR6834184	SRR6834185	SRR6834186	SRR6834187	SRR6834188	SRR6834189
60	4.00	6.00	6.00	7.00	4.00	5.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
61	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
62	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
63	4.00	6.00	6.00	7.00	4.00	6.00	6.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	5.00	5.00	7.00	4.00
64	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
65	4.00	6.00	6.00	7.00	4.00	5.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
66	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
67	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	5.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
68	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
69	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
70	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
71	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
72	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
73	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
74	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
75	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	5.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
76	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	6.00	3.00	4.00	6.00	5.00	7.00	4.00
77	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	5.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
78	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
79	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
80	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
81	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
82	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
83	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
84	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
85	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
86	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
87	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
88	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
89	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
90	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
91	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
92	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
93	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
94	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
95	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
96	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
97	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
98	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
99	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
100	4.00	6.00	6.00	7.00	4.00	6.00	7.00	8.00	7.00	6.00	6.00	7.00	3.00	4.00	6.00	5.00	7.00	4.00
